Name,Day,Date,Raid,Type,Reason,Points,Alt or 2nd Main,Class,Guild Rank,Alt,DKP Rank,Attendance Calc,Level
Elynore,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-90,,Druid,Raider,,Main,0.00,70
Essay,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-175,,Warrior,Inactive,,zInactive,0.00,65
Evoin,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Fenbus,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-70,,Bard,Inactive,,zInactive,0.00,65
Flatline,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-70,,Necromancer,Raider,,Main,0.00,70
Gausbert,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-80,,Bard,Raider,,Main,0.00,70
Sinidan,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-35,,Rogue,Raider,,Main,0.00,70
Genexis,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-170,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Gerou,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-75,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Glooping,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-95,,Necromancer,<<< Officer >>>,,Main,0.00,70
Glyphik,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-70,,Enchanter,Inactive,,zInactive,0.00,65
Guzz,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-130,,Shadow Knight,Raider,,Main,0.00,70
Helbinor,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-100,,Necromancer,Raider,,Main,0.00,70
Joule,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-45,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Kaelain,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-35,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Karalaine,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-90,,Druid,Raider,,Main,0.00,70
Kebabura,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-100,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Nastynate,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-130,,Shadow Knight,Raider,,Main,0.00,70
Kirynn,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-135,,Enchanter,Raider,,Main,0.00,70
Krotax,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-35,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Mayfair,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-75,,Druid,Raider,,Main,0.00,70
Mitivo,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-75,,Magician,Inactive,,zInactive,0.00,65
Moonfang,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-25,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Mortimus,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-145,,Necromancer,<<< Officer >>>,,Main,0.00,70
Nahuri,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-30,,Bard,Raider,,Main,0.00,66
Naturalshm,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-205,,Shaman,Inactive,,zInactive,0.00,65
Nistalkin,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-200,,Magician,Raider,,Main,0.00,70
Olivercromwell,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-120,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Marinee,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-10,,Shadow Knight,Raider,,Main,0.00,70
Patchouli,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-55,,Shaman,<<< Officer >>>,,Main,0.00,70
Penelo,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-200,,Monk,<<< Guild Leader >>>,,Main,0.00,70
Oakwynd,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-100,,Ranger,Raider,,Main,0.00,70
Doraemon,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-100,,Beastlord,<<< Class Lead >>>,,Main,0.00,70
Raage,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-185,,Warrior,<<< Officer >>>,,Main,0.00,70
Rabidtiger,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-80,,Beastlord,Raider,,Main,0.00,70
Rayearth,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-20,,Ranger,Inactive,,zInactive,0.00,61
Renab,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-150,,Ranger,Raider,,Main,0.00,70
Rinon,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-45,,Druid,<<< Class Lead >>>,,Main,0.00,70
Sacristan,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-55,,Paladin,<<< Class Lead >>>,,Main,0.00,70
Scylla,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-150,,Cleric,<<< Officer >>>,,Main,0.00,70
Shamash,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-40,,Warrior,Inactive,,zInactive,0.00,65
Silvae,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-140,,Cleric,<<< Class Lead >>>,,Main,0.00,70
Sitoknight,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-60,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Snwo,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-25,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Baddle,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-5,,Rogue,Raider,,Main,0.00,66
Talimat,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,0,,Wizard,<<< Officer >>>,,Main,0.00,62
Tators,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-55,,Enchanter,Raider,,Main,0.00,70
Thasumr,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-70,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Tomdar,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-70,,Cleric,Raider,,Main,0.00,70
Trystyl,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-125,,Wizard,<<< Class Lead >>>,,Main,0.00,70
Tsundere,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Tyrannikal,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-50,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Tyrus,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-75,,Berserker,<<< Officer >>>,,Main,0.00,70
Utair,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-160,,Druid,Raider,,Main,0.00,70
Valcis,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-55,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Vetis,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-110,,Bard,<<< Class Lead >>>,,Main,0.00,70
Ublala,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-60,,Berserker,Raider,,Main,0.00,70
Voltha,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-160,,Shaman,<<< Class Lead >>>,,Main,0.00,70
Wilin,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-10,,Druid,Member,,Main,0.00,61
Xarielx,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-130,,Wizard,Raider,,Main,0.00,70
Xratizy,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-35,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Yilumi,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-45,,Monk,Inactive,,zInactive,0.00,65
Yzzy,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-230,,Rogue,<<< Class Lead >>>,,Main,0.00,70
Trueshots,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-90,,Ranger,Raider,,Main,0.00,70
Zortax,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,-320,,Warrior,Raider,,Main,0.00,70
Zynite,Sat,,07/16 DKP Decay,Spent,10% WEEKLY DKP DECAY,0,,Enchanter,Inactive,,zInactive,0.00,56
Tyrus,Sat,07/17/21,07/17 PoTime,Spent,tiny jade ring,-60,Kaijin (2nd main),Berserker,<<< Officer >>>,,Main,0.00,70
Shamash,Sat,07/17/21,07/17 PoTime,Spent,gauntlets of disruption,-20,,Warrior,Inactive,,zInactive,0.00,65
Naturalshm,Sat,07/17/21,07/17 PoTime,Spent,wand of the vortex,-105,,Shaman,Inactive,,zInactive,0.00,65
Advenia,Sat,07/17/21,07/17 PoTime,Spent,shield of the vortex,-155,,Magician,<<< Class Lead >>>,,Main,0.00,70
Baconlegs,Sat,07/17/21,07/17 PoTime,Spent,hoop of the enlightened,-165,Beandip (2nd main),Monk,<<< Officer >>>,,Main,0.00,70
Helbinor,Sat,07/17/21,07/17 PoTime,Spent,protective sleeves,-510,,Necromancer,Raider,,Main,0.00,70
Tyrus,Sat,07/17/21,07/17 PoTime,Spent,dagger of distraction,-205,,Berserker,<<< Officer >>>,,Main,0.00,70
Doraemon,Sat,07/17/21,07/17 PoTime,Spent,necklace of celestial energy,-205,,Beastlord,<<< Class Lead >>>,,Main,0.00,70
Drae,Sat,07/17/21,07/17 PoTime,Spent,elemental greaves mold,-210,,Paladin,Raider,,Main,0.00,70
Kirynn,Sat,07/17/21,07/17 PoTime,Spent,elemental silk pant pattern,-400,,Enchanter,Raider,,Main,0.00,70
Naturalshm,Sat,07/17/21,07/17 PoTime,Spent,timeless coral greatsword,-15,Flappyhands (2nd main),Shaman,Inactive,,zInactive,0.00,65
Denia,Sat,07/17/21,07/17 PoTime,Spent,ethereal destroyer,-210,,Warrior,Inactive,,zInactive,0.00,65
Xarielx,Sat,07/17/21,07/17 PoTime,Spent,cape of endless torment,-315,,Wizard,Raider,,Main,0.00,70
Olivercromwell,Sat,07/17/21,07/17 PoTime,Spent,coif of flowing time,-220,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Olivercromwell,Sat,07/17/21,07/17 PoTime,Spent,hammer of hours,-245,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Voltha,Sat,07/17/21,07/17 PoTime,Spent,symbol of the planesmasters,-655,,Shaman,<<< Class Lead >>>,,Main,0.00,70
Glooping,Sat,07/17/21,07/17 PoTime,Spent,symbol of the planesmasters,-655,,Necromancer,<<< Officer >>>,,Main,0.00,70
Advenia,Sat,07/17/21,07/17 PoTime,Spent,veil of lost hopes,-70,,Magician,<<< Class Lead >>>,,Main,0.00,70
Genexis,Sat,07/17/21,07/17 PoTime,Spent,circlet of flowing time,-665,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Olivercromwell,Sat,07/17/21,07/17 PoTime,Spent,serpent of vindication,-10,Whidon (Alt),#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Naturalshm,Sat,07/17/21,07/17 PoTime,Spent,winged storm boots,-30,,Shaman,Inactive,,zInactive,0.00,65
Mortimus,Sat,07/17/21,07/17 PoTime,Spent,cord of potential,-830,,Necromancer,<<< Officer >>>,,Main,0.00,70
Bipp,Sat,07/17/21,07/17 PoTime,Spent,globe of mystical protection,-225,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Silvae,Sat,07/17/21,07/17 PoTime,Spent,shoes of fleeting fury,-305,,Cleric,<<< Class Lead >>>,,Main,0.00,70
Kirynn,Sat,07/17/21,07/17 PoTime,Spent,earring of unseen horrors,-405,,Enchanter,Raider,,Main,0.00,70
Mitivo,Sat,07/17/21,07/17 PoTime,Spent,timeless silk robe pattern,-400,,Magician,Inactive,,zInactive,0.00,65
Flatline,Sat,07/17/21,07/17 PoTime,Spent,wand of impenetrable force,-55,,Necromancer,Raider,,Main,0.00,70
Scylla,Sat,07/17/21,07/17 PoTime,Spent,celestial cloak,-1255,,Cleric,<<< Officer >>>,,Main,0.00,70
Clawdess,Sat,07/17/21,07/17 PoTime,Spent,collar of catastrophe,-260,,Rogue,Raider,,Main,0.00,70
Nastynate,Sat,07/17/21,07/17 PoTime,Spent,timeless leather tunic pattern,-980,,Shadow Knight,Raider,,Main,0.00,70
Albright,Sat,07/17/21,07/17 PoTime,Spent,pauldrons of devastation,-820,,Paladin,Raider,,Main,0.00,70
Nistalkin,Sat,07/17/21,07/17 PoTime,Spent,ring of thunderous forces,-510,,Magician,Raider,,Main,0.00,70
Clawdess,Sat,07/17/21,07/17 PoTime,Spent,ton po's mystical pouch,-395,,Rogue,Raider,,Main,0.00,70
Raage,Sat,07/17/21,07/17 PoTime,Spent,girdle of stability,-305,,Warrior,<<< Officer >>>,,Main,0.00,70
Shamash,Sat,07/17/21,07/17 PoTime,Spent,serrated dart of energy,-300,,Warrior,Inactive,,zInactive,0.00,65
Bipp,Sat,07/17/21,07/17 PoTime,Spent,songblade of the eternal,-10,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Tators,Sat,07/17/21,07/17 PoTime,Spent,ethereal silk leggings,-220,,Enchanter,Raider,,Main,0.00,70
Claud,Sat,07/17/21,07/17 PoTime,Spent,shawl of eternal forces,-1315,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Guzz,Sat,07/17/21,07/17 PoTime,Spent,silver hoop of speed,-1110,,Shadow Knight,Raider,,Main,0.00,70
Bipp,Sat,07/17/21,07/17 PoTime,Spent,timeless breastplate mold,-1350,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Sinidan,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,0,,Rogue,Raider,,Main,0.00,70
Glooping,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Necromancer,<<< Officer >>>,,Main,0.17,70
Kirynn,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Enchanter,Raider,,Main,0.17,70
Mortimus,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Necromancer,<<< Officer >>>,,Main,0.17,70
Olivercromwell,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,#N/A,#N/A,#N/A,#N/A,0.17,#N/A
Penelo,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Monk,<<< Guild Leader >>>,,Main,0.17,70
Raage,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,0,,Warrior,<<< Officer >>>,,Main,0.00,70
Sacristan,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Paladin,<<< Class Lead >>>,,Main,0.17,70
Scylla,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Cleric,<<< Officer >>>,,Main,0.17,70
Tyrus,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Berserker,<<< Officer >>>,,Main,0.17,70
Yilumi,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Monk,Inactive,,zInactive,0.17,65
Advenia,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Magician,<<< Class Lead >>>,,Main,0.17,70
Baconlegs,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Monk,<<< Officer >>>,,Main,0.17,70
Boogabooga,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Shadow Knight,<<< Class Lead >>>,,Main,0.17,70
Bramil,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Necromancer,Raider,,Main,0.17,70
Fenbus,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Bard,Inactive,,zInactive,0.17,65
Silvae,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Cleric,<<< Class Lead >>>,,Main,0.17,70
Trystyl,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Wizard,<<< Class Lead >>>,,Main,0.17,70
Voltha,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Shaman,<<< Class Lead >>>,,Main,0.17,70
Yzzy,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Rogue,<<< Class Lead >>>,,Main,0.17,70
Albright,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Paladin,Raider,,Main,0.17,70
Bipp,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,#N/A,#N/A,#N/A,#N/A,0.17,#N/A
Blazay,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,#N/A,#N/A,#N/A,#N/A,0.17,#N/A
Fedsmokerr,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Wizard,Raider,,Main,0.17,70
Boomerbear,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Magician,Inactive,,zInactive,0.17,65
Claud,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,#N/A,#N/A,#N/A,#N/A,0.17,#N/A
Clawdess,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Rogue,Raider,,Main,0.17,70
Denia,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Warrior,Inactive,,zInactive,0.17,65
Drae,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Paladin,Raider,,Main,0.17,70
Elynore,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Druid,Raider,,Main,0.17,70
Flatline,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,0,,Necromancer,Raider,,Main,0.00,70
Gausbert,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Bard,Raider,,Main,0.17,70
Genexis,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,#N/A,#N/A,#N/A,#N/A,0.17,#N/A
Guzz,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Shadow Knight,Raider,,Main,0.17,70
Helbinor,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Necromancer,Raider,,Main,0.17,70
Nastynate,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Shadow Knight,Raider,,Main,0.17,70
Mayfair,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Druid,Raider,,Main,0.17,70
Mitivo,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Magician,Inactive,,zInactive,0.17,65
Naturalshm,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Shaman,Inactive,,zInactive,0.17,65
Nistalkin,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Magician,Raider,,Main,0.17,70
Oakwynd,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Ranger,Raider,,Main,0.17,70
Doraemon,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Beastlord,<<< Class Lead >>>,,Main,0.17,70
Renab,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Ranger,Raider,,Main,0.17,70
Shamash,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Warrior,Inactive,,zInactive,0.17,65
Tators,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Enchanter,Raider,,Main,0.17,70
Tomdar,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Cleric,Raider,,Main,0.17,70
Utair,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,0,,Druid,Raider,,Main,0.00,70
Xarielx,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,0,,Wizard,Raider,,Main,0.00,70
Zortax,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Warrior,Raider,,Main,0.17,70
Pigglet,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Warrior,Raider,,Main,0.17,70
Curron,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Ranger,Raider,,Main,0.17,70
Froddo,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,#N/A,#N/A,#N/A,#N/A,0.17,#N/A
Gerou,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,#N/A,#N/A,#N/A,#N/A,0.17,#N/A
Karalaine,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,Druid,Raider,,Main,0.17,70
Sitoknight,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,20,,#N/A,#N/A,#N/A,#N/A,0.17,#N/A
Sinidan,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,60,,Rogue,Raider,,Main,0.50,70
Glooping,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Necromancer,<<< Officer >>>,,Main,0.83,70
Kirynn,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Enchanter,Raider,,Main,0.83,70
Mortimus,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Necromancer,<<< Officer >>>,,Main,0.83,70
Olivercromwell,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,#N/A,#N/A,#N/A,#N/A,0.83,#N/A
Penelo,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Monk,<<< Guild Leader >>>,,Main,0.83,70
Raage,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Warrior,<<< Officer >>>,,Main,0.83,70
Sacristan,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Paladin,<<< Class Lead >>>,,Main,0.83,70
Scylla,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Cleric,<<< Officer >>>,,Main,0.83,70
Tyrus,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Berserker,<<< Officer >>>,,Main,0.83,70
Yilumi,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Monk,Inactive,,zInactive,0.83,65
Advenia,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Magician,<<< Class Lead >>>,,Main,0.83,70
Baconlegs,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Monk,<<< Officer >>>,,Main,0.83,70
Boogabooga,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Shadow Knight,<<< Class Lead >>>,,Main,0.83,70
Bramil,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Necromancer,Raider,,Main,0.83,70
Fenbus,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Bard,Inactive,,zInactive,0.83,65
Silvae,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Cleric,<<< Class Lead >>>,,Main,0.83,70
Trystyl,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Wizard,<<< Class Lead >>>,,Main,0.83,70
Voltha,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Shaman,<<< Class Lead >>>,,Main,0.83,70
Yzzy,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Rogue,<<< Class Lead >>>,,Main,0.83,70
Albright,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Paladin,Raider,,Main,0.83,70
Bipp,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,#N/A,#N/A,#N/A,#N/A,0.83,#N/A
Blazay,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,#N/A,#N/A,#N/A,#N/A,0.83,#N/A
Fedsmokerr,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Wizard,Raider,,Main,0.83,70
Boomerbear,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Magician,Inactive,,zInactive,0.83,65
Claud,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,#N/A,#N/A,#N/A,#N/A,0.83,#N/A
Clawdess,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Rogue,Raider,,Main,0.83,70
Denia,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Warrior,Inactive,,zInactive,0.83,65
Drae,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Paladin,Raider,,Main,0.83,70
Elynore,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,40,,Druid,Raider,,Main,0.33,70
Flatline,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,40,,Necromancer,Raider,,Main,0.33,70
Gausbert,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Bard,Raider,,Main,0.83,70
Genexis,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,#N/A,#N/A,#N/A,#N/A,0.83,#N/A
Guzz,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Shadow Knight,Raider,,Main,0.83,70
Helbinor,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Necromancer,Raider,,Main,0.83,70
Nastynate,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Shadow Knight,Raider,,Main,0.83,70
Mayfair,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Druid,Raider,,Main,0.83,70
Mitivo,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,60,,Magician,Inactive,,zInactive,0.50,65
Naturalshm,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Shaman,Inactive,,zInactive,0.83,65
Nistalkin,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Magician,Raider,,Main,0.83,70
Oakwynd,Sat,07/17/21,07/17 PoTime,Earned,Raid - Attendance - 20/hr,100,,Ranger,Raider,,Main,0.83,70
